"mono_rep1","mono_rep2","mono_rep3","ctrl_rep1","ctrl_rep2","repop_rep1","repop_rep2","repop_rep3"
"1700001L19Rik",0,0,0,1,0,0,0,1
"1700001O22Rik",0,0,1,0,0,1,0,0
"1700001P01Rik",0,0,0,0,0,0,0,0
"1700003C15Rik",0,0,0,0,0,0,0,0
"1700003D09Rik",0,0,0,0,0,0,1,0
"1700003E16Rik",1,2,2,0,2,2,0,1
"1700003F12Rik",4,6,4,11,4,17,11,8
"1700003F17Rik",0,0,0,0,0,1,0,0
"1700003G13Rik",0,0,0,0,0,0,0,0
"1700003G18Rik",0,0,0,0,0,0,0,0
"1700003H04Rik",0,0,0,0,0,0,0,0
"1700003L19Rik",0,0,0,0,0,0,0,0
"1700003M02Rik",0,0,0,0,1,0,0,2
"1700003M07Rik",0,1,0,2,0,0,0,1
"1700003P14Rik",0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0
"1700006E09Rik",0,0,0,0,0,0,0,0
"1700006F04Rik",0,0,0,0,0,0,0,0
"1700006H21Rik",0,0,0,0,0,0,0,0
"1700007B14Rik",0,0,0,0,0,0,0,0
"1700007F19Rik",0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,1,0
"1700007J10Rik",3,1,5,4,2,3,1,1
"1700007K09Rik",0,0,0,0,0,0,0,0
"1700007K13Rik",0,0,0,1,0,0,0,1
"1700007L15Rik",27,15,20,8,5,8,7,7
"1700007P06Rik",0,0,0,0,1,1,0,0
"1700008A04Rik",0,0,0,0,0,0,0,0
"1700008F21Rik",0,0,0,0,0,0,0,0
"1700008I05Rik",0,0,0,0,0,0,0,0
"1700008J07Rik",48,21,17,17,17,23,19,36
"1700008K24Rik",0,0,0,0,0,0,0,0
"1700008O03Rik",1,2,0,0,0,1,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0
"1700009C05Rik",0,0,0,0,0,0,0,0
"1700009J07Rik",2,2,0,5,3,7,3,15
"1700009N14Rik",0,0,0,0,0,0,0,0
"1700009P17Rik",30,12,11,18,8,30,7,8
"1700010B08Rik",0,0,0,0,0,0,0,0
"1700010D01Rik",0,0,0,0,0,0,0,0
"1700010I02Rik",1,0,0,1,0,2,0,1
"1700010I14Rik",13,11,6,15,15,15,6,20
"1700010J16Rik",0,0,0,0,0,0,0,0
"1700010K23Rik",0,0,0,0,0,0,0,0
"1700011A15Rik",0,0,0,0,0,0,0,0
"1700011B04Rik",0,0,0,0,0,0,0,0
"1700011E24Rik",0,0,0,0,0,0,0,0
"1700011H14Rik",0,0,0,0,0,0,0,0
"1700011I03Rik",0,1,0,6,6,2,0,6
"1700011J10Rik",88,60,49,51,35,52,39,31
"1700011L22Rik",0,0,0,0,0,0,0,1
"1700011M02Rik",0,0,0,0,0,0,0,0
"1700012A03Rik",0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0
"1700012B09Rik",1,0,0,0,0,0,0,0
"1700012B15Rik",61,36,65,37,43,42,23,60
"1700012D01Rik",8,3,2,8,3,8,5,2
"1700012D14Rik",1,0,0,1,1,3,0,4
"1700012I11Rik",0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0
"1700013F07Rik",0,0,0,1,1,0,0,0
"1700013G23Rik",1,1,0,0,0,0,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0
"1700015E13Rik",0,0,0,0,0,0,0,0
"1700015F17Rik",0,0,0,1,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0
"1700016D06Rik",0,0,0,0,0,0,0,0
"1700016G22Rik",0,0,0,0,0,0,0,0
"1700016H13Rik",0,0,0,0,0,0,0,0
"1700016K19Rik",0,0,0,2,0,0,0,0
"1700016L04Rik",0,0,1,0,0,0,0,0
"1700016L21Rik",0,0,0,0,0,0,0,0
"1700016P04Rik",0,0,0,0,0,0,0,0
"1700017B05Rik",1747,1094,1251,1839,2470,1768,932,3224
"1700017D01Rik",0,0,2,0,0,0,0,0
"1700017G19Rik",0,0,0,0,0,0,0,0
"1700017J07Rik",0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0
"1700018A04Rik",0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0
"1700018B24Rik",0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0
"1700018G05Rik",0,0,0,0,0,0,0,0
"1700018L02Rik",6,4,9,0,0,2,6,0
"1700019A02Rik",0,0,0,0,0,0,0,0
"1700019B03Rik",0,0,0,0,0,0,0,0
"1700019B21Rik",0,0,0,0,0,0,0,0
"1700019D03Rik",0,0,0,2,0,2,0,0
"1700019E08Rik",0,0,0,0,0,0,0,0
"1700019G17Rik",13,8,6,4,4,0,1,2
"1700019G24Rik",0,0,0,0,0,0,0,0
"1700019L03Rik",0,0,0,1,0,2,1,0
"1700019M22Rik",0,0,0,0,0,0,0,0
"1700019N19Rik",0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0
"1700020A23Rik",0,0,0,0,0,0,0,0
"1700020D05Rik",1,2,0,1,0,1,0,0
"1700020G17Rik",0,0,0,0,0,0,0,0
"1700020I14Rik",445,235,208,153,167,274,198,140
"1700020L24Rik",6,2,4,20,20,6,0,10
"1700020M21Rik",0,0,0,0,0,0,0,0
"1700020N01Rik",10,10,13,12,18,15,12,13
"1700020N15Rik",0,0,0,0,0,0,0,0
"1700020N18Rik",0,0,0,0,0,0,0,0
"1700021F05Rik",98,60,83,56,72,48,46,43
"1700021F07Rik",0,0,0,0,0,0,0,0
"1700021K19Rik",719,373,444,241,334,290,175,282
"1700021N21Rik",0,0,0,2,0,0,1,2
"1700022A21Rik",0,0,0,0,0,0,0,0
"1700022A22Rik",0,0,0,0,0,0,0,0
"1700022E09Rik",0,0,0,0,0,0,0,0
"1700022H16Rik",0,0,0,0,0,0,0,0
"1700022I11Rik",0,0,0,0,0,0,0,0
"1700022P22Rik",0,0,0,0,0,0,0,0
"1700023A16Rik",0,0,0,0,0,0,0,0
"1700023C21Rik",0,0,0,0,0,0,0,0
"1700023E05Rik",0,0,1,1,1,1,0,0
"1700023F02Rik",0,0,0,0,0,0,0,0
"1700023F06Rik",0,0,0,0,0,0,0,0
"1700023L04Rik",1,1,0,1,1,2,0,2
"1700024B18Rik",0,0,0,0,0,0,0,0
"1700024F13Rik",10,1,6,2,3,0,1,1
"1700024G13Rik",0,0,0,0,0,0,0,0
"1700024P03Rik",0,0,0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0
"1700024P16Rik",2,0,0,0,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0
"1700025E21Rik",2,0,0,0,1,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0
"1700025F24Rik",0,0,0,0,0,0,0,0
"1700025G04Rik",659,265,354,53,62,60,51,35
"1700025K24Rik",0,0,0,0,0,0,0,0
"1700025M24Rik",0,0,0,0,0,0,0,0
"1700025N23Rik",4,3,5,1,2,5,5,3
"1700026D08Rik",1,0,1,0,0,2,0,0
"1700026D11Rik",0,0,0,0,0,0,0,0
"1700026F02Rik",0,0,0,0,0,0,0,0
"1700026L06Rik",79,25,60,3,4,14,15,0
"1700027A15Rik",0,0,0,0,0,0,0,0
"1700027F09Rik",0,0,0,0,0,0,0,0
"1700027H10Rik",0,0,0,0,0,0,0,0
"1700027I24Rik",0,0,0,0,0,0,0,0
"1700027J07Rik",0,0,0,0,0,0,0,0
"1700028B04Rik",0,0,0,0,0,0,0,0
"1700028D13Rik",0,0,0,0,0,0,0,0
"1700028E10Rik",4,2,3,6,2,4,3,7
"1700028I16Rik",0,0,0,0,0,0,0,0
"1700028J19Rik",11,2,4,3,2,5,5,0
"1700028K03Rik",1,0,0,1,0,1,0,0
"1700028M03Rik",0,0,0,0,0,0,0,0
"1700028P14Rik",0,0,0,0,1,0,0,0
"1700028P15Rik",0,0,0,0,0,0,0,0
"1700029B22Rik",0,0,0,0,0,0,0,0
"1700029F12Rik",0,0,0,0,0,0,0,0
"1700029H14Rik",0,0,0,0,0,0,0,0
"1700029I15Rik",0,0,0,0,0,0,0,0
"1700029J03Rik",0,0,0,0,0,0,0,0
"1700029J07Rik",2,3,0,2,5,0,0,5
"1700029M20Rik",0,0,0,0,0,0,0,0
"1700029N11Rik",0,0,0,0,0,0,0,0
"1700029P11Rik",0,0,0,0,0,0,0,0
"1700030A11Rik",0,0,0,0,0,0,0,0
"1700030C10Rik",7,4,8,30,15,16,10,20
"1700030F04Rik",0,0,0,0,0,0,0,0
"1700030F18Rik",0,0,0,0,0,0,0,0
"1700030J22Rik",14,6,10,7,9,3,7,4
"1700030K09Rik",47,34,39,31,41,46,33,65
"1700030L20Rik",0,0,0,0,0,0,0,0
"1700030M09Rik",0,0,0,0,0,0,0,0
"1700030N03Rik",0,0,0,0,0,0,0,0
"1700030O20Rik",0,0,0,0,0,0,0,0
"1700031A10Rik",0,0,0,0,0,0,0,0
"1700031F05Rik",0,0,0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0,0,0
"1700031P21Rik",0,0,0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0,0,0
"1700034F02Rik",0,1,0,0,0,0,0,0
"1700034G24Rik",0,0,0,0,0,0,0,0
"1700034H15Rik",3,1,0,1,2,0,0,1
"1700034I23Rik",0,0,0,0,0,0,0,0
"1700034J05Rik",0,0,0,0,0,0,0,0
"1700034K08Rik",0,0,0,0,0,0,0,0
"1700034O15Rik",0,0,0,0,0,0,0,0
"1700034P13Rik",0,2,1,1,0,1,0,1
"1700036G14Rik",0,0,0,0,0,0,0,0
"1700037C18Rik",39,17,26,21,16,14,12,25
"1700037H04Rik",353,177,245,86,89,127,79,70
"1700039E15Rik",1,0,0,0,0,2,0,0
"1700039E22Rik",0,0,0,0,0,0,0,0
"1700040L02Rik",1,0,0,0,1,1,0,0
"1700040N02Rik",0,0,0,0,0,0,0,0
"1700041C23Rik",0,0,0,0,0,0,0,0
"1700041M19Rik",0,0,0,0,0,0,0,0
"1700042B14Rik",1,0,0,1,0,1,1,0
"1700042G07Rik",0,0,0,0,0,0,0,0
"1700042G15Rik",0,0,0,0,0,0,0,0
"1700042O10Rik",0,0,0,0,0,0,0,0
"1700044C05Rik",0,0,0,0,0,0,0,0
"1700044K03Rik",0,0,0,0,0,0,0,0
"1700045H11Rik",0,0,0,0,0,0,0,0
"1700045I19Rik",0,0,0,0,0,0,0,0
"1700046C09Rik",0,0,0,0,0,0,0,0
"1700047E10Rik",0,1,0,1,2,1,0,0
"1700047G03Rik",0,0,0,0,0,0,0,0
"1700047I17Rik2",0,0,0,0,0,0,0,0
"1700047L14Rik",0,0,0,0,0,0,0,0
"1700047M11Rik",0,0,0,0,1,0,0,2
"1700048M11Rik",0,0,0,0,0,0,0,2
"1700048O20Rik",24,12,13,0,2,6,0,4
"1700049E15Rik",0,0,0,0,0,0,0,0
"1700049E22Rik",0,0,0,0,0,0,0,0
"1700049G17Rik",46,26,24,47,56,46,25,35
"1700049L16Rik",0,0,0,0,0,0,0,0
"1700051A21Rik",0,0,0,0,0,0,0,0
"1700052I22Rik",0,0,0,0,0,0,0,0
"1700052K11Rik",49,32,26,26,19,17,25,28
"1700052N19Rik",217,124,116,168,114,111,89,78
"1700054A03Rik",0,0,0,0,0,0,0,0
"1700054K19Rik",0,0,0,0,0,0,0,0
"1700054M17Rik",0,0,0,0,0,0,0,0
"1700054O13Rik",0,0,0,0,0,0,0,0
"1700055C04Rik",0,0,0,0,0,0,0,0
"1700055N04Rik",1,0,0,1,0,0,0,0
"1700056E22Rik",7,8,7,3,1,1,3,3
"1700057G04Rik",0,0,0,0,0,0,0,0
"1700057H15Rik",0,0,0,0,0,0,0,0
"1700058G18Rik",0,0,0,0,0,0,0,0
"1700060C16Rik",0,0,0,0,0,0,0,0
"1700060C20Rik",0,0,0,0,0,0,0,0
"1700061F12Rik",0,0,0,0,0,0,0,0
"1700061G19Rik",2,4,1,0,0,0,8,0
"1700061I17Rik",0,0,0,0,0,0,0,0
"1700063A18Rik",0,0,0,0,0,0,0,0
"1700063D05Rik",1,2,3,3,0,2,2,0
"1700063O14Rik",0,0,0,0,0,0,0,0
"1700064J06Rik",0,0,0,0,0,0,0,0
"1700064M15Rik",0,0,0,2,0,0,0,0
"1700065D16Rik",0,0,1,0,0,0,0,0
"1700065I16Rik",0,0,0,0,0,0,0,0
"1700065I17Rik",0,0,0,0,0,0,0,0
"1700065J11Rik",0,0,0,0,0,0,0,0
"1700065J18Rik",0,0,0,0,0,0,0,0
"1700065O20Rik",0,0,0,0,0,0,0,0
"1700066B17Rik",0,0,0,0,0,0,0,0
"1700066B19Rik",2,0,4,0,0,2,1,0
"1700066J24Rik",18,12,11,17,17,10,11,25
"1700066M21Rik",106,69,61,63,97,83,48,58
"1700066N21Rik",0,0,0,0,0,0,0,0
"1700066O22Rik",0,0,0,0,0,0,0,0
"1700067G17Rik",0,0,0,0,0,0,0,0
"1700067K01Rik",2,0,0,0,0,0,0,0
"1700067P10Rik",0,0,0,0,0,0,0,0
"1700069L16Rik",0,0,0,0,0,0,0,0
"1700069P05Rik",0,0,0,0,0,0,0,0
"1700071K01Rik",0,0,0,1,0,0,0,0
"1700071M16Rik",1,3,0,0,1,0,1,0
"1700072B07Rik",0,0,0,0,0,0,0,0
"1700072O05Rik",0,0,0,0,0,0,0,0
"1700073E17Rik",0,0,0,0,0,0,0,0
"1700074H08Rik",0,0,0,0,0,0,0,0
"1700074P13Rik",0,0,0,0,0,0,0,0
"1700080E11Rik",0,0,0,0,0,0,0,0
"1700080N15Rik",0,0,0,0,0,0,0,0
"1700080O16Rik",0,0,0,0,0,0,0,0
"1700081H04Rik",0,0,0,0,0,0,0,0
"1700081H22Rik",0,0,0,0,0,0,0,0
"1700084C01Rik",0,0,0,0,0,2,0,0
"1700084E18Rik",3,0,0,2,1,0,0,0
"1700084F23Rik",0,0,0,0,0,0,0,0
"1700084J12Rik",0,0,0,0,0,1,0,0
"1700085B03Rik",0,0,0,0,0,0,0,0
"1700085C21Rik",0,0,0,0,0,0,0,0
"1700086L19Rik",0,0,0,0,0,0,0,0
"1700086O06Rik",16,8,14,3,3,3,4,10
"1700088E04Rik",1,0,0,0,2,0,1,0
"1700091E21Rik",0,0,0,0,0,0,0,0
"1700091H14Rik",0,0,0,0,0,0,0,0
"1700092C02Rik",0,0,0,0,0,0,0,0
"1700092C10Rik",0,0,0,0,0,0,0,0
"1700092E19Rik",0,0,0,0,0,0,0,0
"1700092K14Rik",0,0,0,0,0,0,0,0
"1700092M07Rik",0,0,0,1,0,0,0,0
"1700093K21Rik",0,0,0,0,0,0,0,0
"1700094D03Rik",6,2,5,15,16,16,10,20
"1700094J05Rik",0,0,0,0,0,0,0,0
"1700094M24Rik",0,0,0,0,0,0,0,0
"1700095A21Rik",0,0,0,0,0,0,0,0
"1700095B10Rik",0,0,0,0,0,0,0,0
"1700095B22Rik",0,0,0,0,0,0,0,0
"1700096J18Rik",0,0,0,0,0,0,0,0
"1700096K18Rik",40,40,26,34,27,45,43,28
"1700097N02Rik",0,0,1,0,0,0,0,0
"1700100L14Rik",0,0,0,0,0,0,0,0
"1700101E01Rik",1,0,0,0,1,0,0,3
"1700101I11Rik",0,1,0,1,1,0,0,0
"1700101O22Rik",0,0,0,0,0,0,0,0
"1700102H20Rik",0,0,4,0,0,0,0,0
"1700102P08Rik",2,0,2,0,3,0,1,0
"1700104A03Rik",0,0,0,0,0,0,0,0
"1700105P06Rik",0,0,0,0,0,0,0,0
"1700106J16Rik",0,0,0,0,0,0,0,0
"1700108F19Rik",0,0,0,0,0,0,0,0
"1700108J01Rik",0,0,0,0,0,0,0,0
"1700109F18Rik",0,0,0,0,0,0,0,0
"1700109G14Rik",0,0,0,0,0,0,0,0
"1700109G15Rik",0,0,0,0,0,0,0,0
"1700109H08Rik",1,0,0,2,0,1,0,1
"1700109I08Rik",0,0,0,0,0,0,0,0
"1700110C19Rik",1,0,0,0,0,0,0,0
"1700110I01Rik",0,0,0,0,0,0,0,0
"1700110K17Rik",0,0,0,0,0,0,0,0
"1700110M21Rik",0,0,0,0,1,0,0,0
"1700111N16Rik",0,0,0,0,0,0,0,0
"1700112E06Rik",14,4,10,35,34,47,36,25
"1700112H15Rik",0,0,0,0,0,0,0,0
"1700112J05Rik",0,0,0,0,0,0,0,0
"1700113A16Rik",49,23,51,64,76,40,31,66
"1700113H08Rik",0,0,0,0,0,0,0,0
"1700119H24Rik",0,0,0,0,0,0,0,0
"1700120C14Rik",1,0,1,0,1,0,0,0
"1700120E14Rik",0,0,0,0,0,0,0,0
"1700120G07Rik",0,0,0,0,0,0,0,0
"1700120K04Rik",1,0,1,2,1,2,0,0
"1700121L16Rik",0,1,0,1,0,3,0,3
"1700121N20Rik",0,0,0,0,0,0,0,0
"1700122O11Rik",0,0,0,0,0,0,0,0
"1700123I01Rik",2,0,2,0,0,2,0,0
"1700123K08Rik",0,0,0,0,0,0,0,0
"1700123L14Rik",0,0,0,0,0,0,0,0
"1700123M08Rik",11,2,6,9,0,5,1,1
"1700123O12Rik",0,0,0,0,0,0,0,0
"1700123O20Rik",376,191,276,407,310,265,176,162
"1700123O21Rik",0,0,0,0,0,0,0,0
"1700125G02Rik",0,0,0,0,0,0,0,0
"1700125G22Rik",0,0,0,0,0,0,0,0
"1700125H03Rik",0,0,0,0,0,0,0,0
"1700125H20Rik",0,0,0,0,0,0,0,0
"1700126H18Rik",0,0,0,0,0,0,0,0
"1700128A07Rik",0,0,0,0,0,0,0,0
"1700128F08Rik",1,0,1,3,1,0,0,0
"1700129C05Rik",0,0,0,0,0,0,0,0
"1810006J02Rik",0,0,0,2,0,1,0,0
"1810007C17Rik",0,0,0,0,0,0,0,0
"1810007D17Rik",0,0,0,0,0,0,0,0
"1810007I06Rik",0,0,0,0,0,0,0,0
"1810008I18Rik",0,0,0,0,0,0,0,0
"1810009A15Rik",334,171,248,157,124,169,138,106
"1810009J06Rik",0,0,0,0,0,0,0,0
"1810010D01Rik",0,0,0,0,0,0,0,0
"1810010H24Rik",2,3,5,21,10,6,2,7
"1810011H11Rik",862,369,571,482,392,388,243,318
"1810011O10Rik",1,0,2,17,10,34,38,13
"1810012K16Rik",0,0,0,0,0,1,0,1
"1810013A23Rik",0,0,0,0,0,0,0,0
"1810013D10Rik",299,150,183,225,193,187,146,134
"1810013L24Rik",292,164,177,195,257,246,146,172
"1810014B01Rik",75,41,51,30,55,35,20,16
"1810018F18Rik",0,0,0,0,0,0,0,0
"1810019D21Rik",0,0,0,0,1,0,0,0
"1810019J16Rik",4,3,1,2,0,0,0,2
"1810020O05Rik",0,0,0,0,0,0,0,0
"1810021B22Rik",9,8,10,17,14,13,5,19
"1810022K09Rik",355,208,210,182,107,226,136,46
"1810024B03Rik",4,2,1,3,2,6,3,0
"1810026B05Rik",49,42,30,53,54,31,22,42
"1810026J23Rik",506,226,306,422,412,390,242,194
"1810030O07Rik",792,471,516,467,512,498,276,304
"1810032O08Rik",28,14,20,5,4,23,13,11
"1810033B17Rik",101,48,76,214,168,78,33,37
"1810034E14Rik",17,20,17,4,5,12,8,19
"1810035I16Rik",1,2,1,0,2,5,0,2
"1810037I17Rik",588,263,406,419,340,344,234,229
"1810041L15Rik",1,0,0,0,0,2,0,0
"1810043G02Rik",160,97,121,69,67,112,96,105
"1810043H04Rik",219,111,131,92,73,88,74,46
"1810044D09Rik",24,10,10,10,5,8,10,4
"1810046K07Rik",0,0,0,0,0,0,0,0
"1810053B23Rik",0,0,0,0,0,0,0,0
"1810055G02Rik",52,26,36,11,18,28,8,18
"1810058I24Rik",731,390,488,258,206,393,313,203
"1810062G17Rik",2,1,3,0,0,0,0,0
"1810062O18Rik",4,0,2,3,2,2,1,10
"1810064F22Rik",1,0,0,0,0,1,0,0
"1810065E05Rik",0,0,0,0,0,0,0,0
"2010001E11Rik",3,2,0,5,4,9,1,8
"2010001M06Rik",1,1,0,3,6,14,4,14
"2010002M12Rik",5,0,2,3,9,2,0,4
"2010003K11Rik",0,0,0,0,0,0,0,0
"2010003O02Rik",97,52,69,44,38,61,51,38
"2010005H15Rik",0,0,0,0,0,0,0,0
"2010009K17Rik",1,0,0,0,1,1,0,0
"2010010A06Rik",0,0,2,0,0,0,0,0
"2010012O05Rik",183,117,121,93,88,77,74,80
"2010015L04Rik",46,32,31,74,93,81,40,109
"2010016I18Rik",0,0,0,0,0,0,0,0
"2010106C02Rik",0,0,0,0,0,0,0,0
"2010106E10Rik",0,0,0,0,0,0,0,0
"2010107E04Rik",1063,584,636,398,283,689,455,284
"2010107G12Rik",0,0,0,0,1,1,1,0
"2010107G23Rik",0,1,2,13,4,3,0,7
"2010109A12Rik",1,5,0,3,1,4,4,0
"2010109I03Rik",1,3,4,9,6,7,7,5
"2010111I01Rik",82,70,48,23,23,33,29,13
"2010204K13Rik",17,6,12,8,6,8,2,6
"2010300C02Rik",5,5,1,4,4,1,1,7
"2010308F09Rik",0,0,0,0,0,0,0,0
"2010310C07Rik",0,0,0,0,0,0,0,0
